%_Annual_J-D__________________ L-OTI(^S^o^N^C) Change 1957-2017                  
%   i   j     lon     lat    array(i,j)
 126   3   71.00  -85.00        0.4377
 127   3   73.00  -85.00        0.4377
 128   3   75.00  -85.00        0.4377
 129   3   77.00  -85.00        0.4377
 130   3   79.00  -85.00        0.4377
 131   3   81.00  -85.00        0.4377
 132   3   83.00  -85.00        0.4377
 133   3   85.00  -85.00        0.4377
 134   3   87.00  -85.00        0.4377
 135   3   89.00  -85.00        0.4377
 136   3   91.00  -85.00        0.4377
 137   3   93.00  -85.00        0.4377
 138   3   95.00  -85.00        0.4377
 139   3   97.00  -85.00        0.4377
 140   3   99.00  -85.00        0.4377
 141   3  101.00  -85.00        0.4377
 142   3  103.00  -85.00        0.4377
 143   3  105.00  -85.00        0.4377
 144   3  107.00  -85.00        0.4377
 145   3  109.00  -85.00        0.4377
 146   3  111.00  -85.00        0.4377
 147   3  113.00  -85.00        0.4377
 148   3  115.00  -85.00        0.4377
 149   3  117.00  -85.00        0.4377
 150   3  119.00  -85.00        0.4377
 151   3  121.00  -85.00        0.4377
 152   3  123.00  -85.00        0.4377
 153   3  125.00  -85.00        0.4377
 154   3  127.00  -85.00        0.4377
 155   3  129.00  -85.00        0.4377
 156   3  131.00  -85.00        0.4377
 157   3  133.00  -85.00        0.4377
 158   3  135.00  -85.00        0.4377
 159   3  137.00  -85.00        0.4377
 160   3  139.00  -85.00        0.4377
 161   3  141.00  -85.00        0.4377
 162   3  143.00  -85.00        0.4377
 163   3  145.00  -85.00        0.4377
 164   3  147.00  -85.00        0.4377
 165   3  149.00  -85.00        0.4377
 166   3  151.00  -85.00        0.4377
 167   3  153.00  -85.00        0.4377
 168   3  155.00  -85.00        0.4377
 169   3  157.00  -85.00        0.4377
 170   3  159.00  -85.00        0.4377
 171   3  161.00  -85.00        0.4377
 172   3  163.00  -85.00        0.4377
 173   3  165.00  -85.00        0.4377
 174   3  167.00  -85.00        0.4377
 175   3  169.00  -85.00        0.4377
 176   3  171.00  -85.00        0.4377
 177   3  173.00  -85.00        0.4377
 178   3  175.00  -85.00        0.4377
 179   3  177.00  -85.00        0.4377
 180   3  179.00  -85.00        0.4377
   1   4 -179.00  -83.00        0.4377
   2   4 -177.00  -83.00        0.4377
   3   4 -175.00  -83.00        0.4377
   4   4 -173.00  -83.00        0.4377
   5   4 -171.00  -83.00        0.4377
   6   4 -169.00  -83.00        0.4377
   7   4 -167.00  -83.00        0.4377
   8   4 -165.00  -83.00        0.4377
   9   4 -163.00  -83.00        0.4377
  10   4 -161.00  -83.00        0.4377
  11   4 -159.00  -83.00        0.4377
  12   4 -157.00  -83.00        0.4377
  13   4 -155.00  -83.00        0.4377
  14   4 -153.00  -83.00        0.4377
  15   4 -151.00  -83.00        0.4377
  16   4 -149.00  -83.00        0.4377
  17   4 -147.00  -83.00        0.4377
  18   4 -145.00  -83.00        0.4377
  19   4 -143.00  -83.00        0.4377
  20   4 -141.00  -83.00        0.4377
  21   4 -139.00  -83.00        0.4377
  22   4 -137.00  -83.00        0.4377
  23   4 -135.00  -83.00        0.4377
  24   4 -133.00  -83.00        0.4377
  25   4 -131.00  -83.00        0.4377
  26   4 -129.00  -83.00        0.4377
  27   4 -127.00  -83.00        0.4377
  28   4 -125.00  -83.00        0.4377
  29   4 -123.00  -83.00        0.4377
  30   4 -121.00  -83.00        0.4377
  31   4 -119.00  -83.00        0.4377
  32   4 -117.00  -83.00        0.4377
  33   4 -115.00  -83.00        0.4377
  34   4 -113.00  -83.00        0.4377
  35   4 -111.00  -83.00        0.4377
  36   4 -109.00  -83.00        0.4377
  37   4 -107.00  -83.00        0.4377
